episode_id,run,subdir,episode_index,vla_prompt,high_level_prompt,round,num_actions,duration_s,converged,vlm_success,vlm_reason,actions_csv,manual_success
run_2026-08-19_04-21-15__02__ep4,run_2026-08-19_04-21-15,02,4,put the box on the tray,put everything on the tray,1,353,13.6,False,,,actions/run_2026-08-19_04-21-15__02__ep4.csv,
run_2026-08-19_04-21-15__03__ep0,run_2026-08-19_04-21-15,03,0,put the stuffed animal on the tray,put everything on the tray,1,162,7.6,False,,,actions/run_2026-08-19_04-21-15__03__ep0.csv,
run_2026-08-19_04-21-15__03__ep1,run_2026-08-19_04-21-15,03,1,put the stuffed animal on the tray,put everything on the tray,1,73,4.5,False,,,actions/run_2026-08-19_04-21-15__03__ep1.csv,
run_2026-08-19_04-21-15__03__ep2,run_2026-08-19_04-21-15,03,2,put the banana on the tray,put everything on the tray,1,16,1.6,False,,,actions/run_2026-08-19_04-21-15__03__ep2.csv,
run_2026-08-19_04-21-15__04__ep0,run_2026-08-19_04-21-15,04,0,put the stuffed animal on the tray,put everything on the tray,1,626,23.8,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__04__ep0.csv,
run_2026-08-19_04-21-15__04__ep1,run_2026-08-19_04-21-15,04,1,put the banana on the tray,put everything on the tray,1,462,16.6,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__04__ep1.csv,
run_2026-08-19_04-21-15__05__ep0,run_2026-08-19_04-21-15,05,0,put the banana on the tray,put everything on the tray,1,774,29.0,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__05__ep0.csv,
run_2026-08-19_04-21-15__05__ep1,run_2026-08-19_04-21-15,05,1,put the stuffed animal on the tray,put everything on the tray,1,643,25.7,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__05__ep1.csv,
run_2026-08-19_04-21-15__05__ep2,run_2026-08-19_04-21-15,05,2,put the box on the tray,put everything on the tray,1,363,14.0,False,,,actions/run_2026-08-19_04-21-15__05__ep2.csv,
run_2026-08-19_04-21-15__05__ep3,run_2026-08-19_04-21-15,05,3,put the box on the tray,put everything on the tray,1,396,15.4,False,,,actions/run_2026-08-19_04-21-15__05__ep3.csv,
run_2026-08-19_04-21-15__06__ep0,run_2026-08-19_04-21-15,06,0,put the stuffed animal on the tray,put everything on the tray except for the banana,1,359,14.4,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__06__ep0.csv,
run_2026-08-19_04-21-15__06__ep1,run_2026-08-19_04-21-15,06,1,put the purse on the tray,put everything on the tray except for the banana,1,468,17.7,True,False,The purse remains on the table and has not been moved onto the tray.,actions/run_2026-08-19_04-21-15__06__ep1.csv,
run_2026-08-19_04-21-15__06__ep2,run_2026-08-19_04-21-15,06,2,put the purse on the tray,put everything on the tray except for the banana,1,134,6.5,True,False,The purse is not on the tray; it remains on the table.,actions/run_2026-08-19_04-21-15__06__ep2.csv,
run_2026-08-19_04-21-15__06__ep3,run_2026-08-19_04-21-15,06,3,put the purse on the tray,put everything on the tray except for the banana,1,172,7.8,True,False,The purse is not on the tray; it remains on the table next to the banana and chocolate bar.,actions/run_2026-08-19_04-21-15__06__ep3.csv,
run_2026-08-19_04-21-15__06__ep4,run_2026-08-19_04-21-15,06,4,put the purse on the tray,put everything on the tray except for the banana,1,319,13.1,False,,,actions/run_2026-08-19_04-21-15__06__ep4.csv,
run_2026-08-19_04-21-15__07__ep0,run_2026-08-19_04-21-15,07,0,put the banana on the tray,put everything on the tray except for the toy,1,589,22.3,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__07__ep0.csv,
run_2026-08-19_04-21-15__07__ep1,run_2026-08-19_04-21-15,07,1,put the banana on the tray,put everything on the tray except for the toy,2,150,6.8,True,True,"The banana is already on the tray in the final frame, indicating the sub-task was completed successfully.",actions/run_2026-08-19_04-21-15__07__ep1.csv,
run_2026-08-19_04-44-51__01__ep0,run_2026-08-19_04-44-51,01,0,put the stuffed animal on the tray,put everything on the tray except for the banana,1,862,30.2,False,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-44-51__01__ep0.csv,
run_2026-08-19_04-44-51__01__ep1,run_2026-08-19_04-44-51,01,1,put the stuffed animal on the tray,put everything on the tray except for the banana,2,107,6.7,True,True,The stuffed animal is already on the tray at the start of the video and remains there throughout the clip.,actions/run_2026-08-19_04-44-51__01__ep1.csv,
run_2026-08-19_05-50-13__01__ep0,run_2026-08-19_05-50-13,01,0,put the toy on the tray,put everything on the tray except for the banana,1,467,17.9,True,True,The toy is now on the tray as instructed.,actions/run_2026-08-19_05-50-13__01__ep0.csv,
run_2026-08-19_05-50-13__02__ep0,run_2026-08-19_05-50-13,02,0,put the toy on the tray,put everything on the tray except for the banana,1,484,18.6,True,True,"The toy, which is a brown stuffed animal with antlers, is now resting inside the pink tray as instructed.",actions/run_2026-08-19_05-50-13__02__ep0.csv,
run_2026-08-19_05-50-13__03__ep0,run_2026-08-19_05-50-13,03,0,put the toy on the tray,put everything on the tray except for the banana,1,691,24.7,False,,,actions/run_2026-08-19_05-50-13__03__ep0.csv,
run_2026-08-19_05-50-13__03__ep1,run_2026-08-19_05-50-13,03,1,put the toy on the tray,put everything on the tray except for the banana,1,17,2.2,False,,,actions/run_2026-08-19_05-50-13__03__ep1.csv,
run_2026-08-19_05-50-13__04__ep0,run_2026-08-19_05-50-13,04,0,put the toy on the tray,put everything on the tray except for the banana,1,312,12.7,True,True,The toy is now on the tray as instructed.,actions/run_2026-08-19_05-50-13__04__ep0.csv,
run_2026-08-19_06-31-10__01__ep0,run_2026-08-19_06-31-10,01,0,put the toy on the tray,put everything on the tray except for the banana,1,440,17.7,True,True,The toy is now on the tray as instructed.,actions/run_2026-08-19_06-31-10__01__ep0.csv,
run_2026-08-19_06-57-56__01__ep0,run_2026-08-19_06-57-56,01,0,put the stuffed animal on the tray,put everything on the tray except for the banana,1,794,29.6,False,,,actions/run_2026-08-19_06-57-56__01__ep0.csv,
run_2026-08-19_06-57-56__02__ep0,run_2026-08-19_06-57-56,02,0,put the toy on the tray,put everything on the tray except for the banana,1,341,14.5,True,True,"The toy, which is a brown stuffed animal, is now on the tray as instructed.",actions/run_2026-08-19_06-57-56__02__ep0.csv,
run_2026-08-19_06-57-56__02__ep1,run_2026-08-19_06-57-56,02,1,put the cylinder on the tray,put everything on the tray except for the banana,2,761,29.6,False,,,actions/run_2026-08-19_06-57-56__02__ep1.csv,
run_2026-08-19_06-57-56__02__ep2,run_2026-08-19_06-57-56,02,2,put the cylinder on the tray,put everything on the tray except for the banana,2,335,14.0,True,True,The cylinder is now on the tray as instructed.,actions/run_2026-08-19_06-57-56__02__ep2.csv,
run_2026-08-19_07-17-03__01__ep0,run_2026-08-19_07-17-03,01,0,put the toy on the tray,put everything on the tray except for the banana,1,628,23.8,True,True,The toy is now on the tray as instructed.,actions/run_2026-08-19_07-17-03__01__ep0.csv,
run_2026-08-19_07-17-03__01__ep1,run_2026-08-19_07-17-03,01,1,put the cylinder on the tray,put everything on the tray except for the banana,2,708,27.3,True,True,The cylinder is now on the tray as instructed.,actions/run_2026-08-19_07-17-03__01__ep1.csv,
run_2026-08-19_07-17-03__02__ep0,run_2026-08-19_07-17-03,02,0,put the banana on the tray,put everything on the tray,1,578,24.6,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_07-17-03__02__ep0.csv,
run_2026-08-19_07-17-03__02__ep1,run_2026-08-19_07-17-03,02,1,put the stuffed animal on the tray,put everything on the tray,1,785,30.3,False,False,The stuffed animal remains on the table and has not been moved onto the tray.,actions/run_2026-08-19_07-17-03__02__ep1.csv,
run_2026-08-19_07-17-03__02__ep2,run_2026-08-19_07-17-03,02,2,put the stuffed animal on the tray,put everything on the tray,1,773,30.2,False,False,"The robot arm moved towards the stuffed animal but did not successfully grasp or place it on the tray. The stuffed animal remains on the table, not on the tray.",actions/run_2026-08-19_07-17-03__02__ep2.csv,
run_2026-08-19_07-17-03__03__ep0,run_2026-08-19_07-17-03,03,0,put the stuffed animal on the tray,put everything on the tray,1,710,28.5,False,,,actions/run_2026-08-19_07-17-03__03__ep0.csv,
run_2026-08-19_07-17-03__04__ep0,run_2026-08-19_07-17-03,04,0,put the stuffed animal on the tray,put everything on the tray,1,315,13.3,False,,,actions/run_2026-08-19_07-17-03__04__ep0.csv,
run_2026-08-19_07-17-03__05__ep0,run_2026-08-19_07-17-03,05,0,put the stuffed animal on the tray,put everything on the tray,1,627,25.1,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_07-17-03__05__ep0.csv,
run_2026-08-19_07-17-03__05__ep1,run_2026-08-19_07-17-03,05,1,put the banana on the tray,put everything on the tray,1,399,17.1,False,,,actions/run_2026-08-19_07-17-03__05__ep1.csv,
run_2026-08-19_07-17-03__05__ep2,run_2026-08-19_07-17-03,05,2,put the banana on the tray,put everything on the tray,1,0,30.0,,,,actions/run_2026-08-19_07-17-03__05__ep2.csv,
run_2026-08-19_07-36-23__01__ep0,run_2026-08-19_07-36-23,01,0,put the stuffed animal on the tray,put everything on the tray,1,537,20.6,False,,,actions/run_2026-08-19_07-36-23__01__ep0.csv,
run_2026-08-19_07-36-23__02__ep0,run_2026-08-19_07-36-23,02,0,put the stuffed animal on the tray,put everything on the tray,1,386,15.2,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_07-36-23__02__ep0.csv,
run_2026-08-19_07-36-23__02__ep1,run_2026-08-19_07-36-23,02,1,put the banana on the tray,put everything on the tray,1,139,7.4,True,False,The banana remains on the table and has not been moved onto the tray.,actions/run_2026-08-19_07-36-23__02__ep1.csv,
run_2026-08-19_07-36-23__02__ep2,run_2026-08-19_07-36-23,02,2,put the banana on the tray,put everything on the tray,1,532,20.7,False,,,actions/run_2026-08-19_07-36-23__02__ep2.csv,
run_2026-08-19_07-36-23__02__ep3,run_2026-08-19_07-36-23,02,3,put the cylinder on the tray,put everything on the tray,1,25,2.9,False,,,actions/run_2026-08-19_07-36-23__02__ep3.csv,
run_2026-08-19_07-36-23__02__ep4,run_2026-08-19_07-36-23,02,4,put the cylinder on the tray,put everything on the tray,1,216,9.6,True,,,actions/run_2026-08-19_07-36-23__02__ep4.csv,
run_2026-08-20_06-23-01__01__ep0,run_2026-08-20_06-23-01,01,0,put the stuffed animal in the tray,put everything away,1,511,19.0,True,True,failure_type=RETRY | The stuffed animal is now inside the tray as instructed.,actions/run_2026-08-20_06-23-01__01__ep0.csv,
run_2026-08-20_06-23-01__01__ep1,run_2026-08-20_06-23-01,01,1,put the banana in the tray,put everything away,1,478,17.7,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__01__ep1.csv,
run_2026-08-20_06-23-01__01__ep2,run_2026-08-20_06-23-01,01,2,put the pouch on the tray,put everything away,2,516,19.1,True,True,failure_type=RETRY | The pouch is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__01__ep2.csv,
run_2026-08-20_06-23-01__01__ep3,run_2026-08-20_06-23-01,01,3,put the kumquat on the tray,put everything away,2,114,6.3,False,,,actions/run_2026-08-20_06-23-01__01__ep3.csv,
run_2026-08-20_06-23-01__02__ep0,run_2026-08-20_06-23-01,02,0,put the toy on the tray,put everything on the tray except for the banana,1,611,22.2,True,True,failure_type=RETRY | The toy is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__02__ep0.csv,
run_2026-08-20_06-23-01__02__ep1,run_2026-08-20_06-23-01,02,1,put the roll on the tray,put everything on the tray except for the banana,2,558,21.0,True,True,failure_type=RETRY | The roll is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__02__ep1.csv,
run_2026-08-20_06-23-01__03__ep0,run_2026-08-20_06-23-01,03,0,put the stuffed animal on the tray,put everything on the tray except for hte pouch,1,544,20.4,True,True,failure_type=RETRY | The stuffed animal is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__03__ep0.csv,
run_2026-08-20_06-23-01__03__ep1,run_2026-08-20_06-23-01,03,1,put the roll on the tray,put everything on the tray except for hte pouch,1,118,8.5,True,False,"failure_type=RETRY | The robot arm remains stationary and does not move toward the roll or the tray, indicating no attempt was made to complete the task.",actions/run_2026-08-20_06-23-01__03__ep1.csv,
run_2026-08-20_06-23-01__03__ep2,run_2026-08-20_06-23-01,03,2,put the roll on the tray,put everything on the tray except for hte pouch,1,158,8.4,True,False,"failure_type=RETRY | The robot arm remains stationary and does not move toward the roll or the tray, indicating no attempt was made to complete the task.",actions/run_2026-08-20_06-23-01__03__ep2.csv,
run_2026-08-20_06-23-01__03__ep3,run_2026-08-20_06-23-01,03,3,put the roll on the tray,put everything on the tray except for hte pouch,1,120,8.5,True,False,"failure_type=RETRY | The robot arm remains stationary and does not move toward the roll or the tray, indicating no attempt was made to complete the task.",actions/run_2026-08-20_06-23-01__03__ep3.csv,
run_2026-08-20_06-23-01__03__ep4,run_2026-08-20_06-23-01,03,4,put the roll on the tray,put everything on the tray except for hte pouch,1,152,8.6,True,False,"failure_type=RETRY | The robot arm remains stationary and does not move toward the roll or the tray, indicating no attempt was made to complete the task.",actions/run_2026-08-20_06-23-01__03__ep4.csv,
run_2026-08-20_06-23-01__03__ep5,run_2026-08-20_06-23-01,03,5,put the banana on the tray,put everything on the tray except for hte pouch,1,459,16.7,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_06-23-01__03__ep5.csv,
run_2026-08-20_06-23-01__03__ep6,run_2026-08-20_06-23-01,03,6,put the kumquat on the tray,put everything on the tray except for hte pouch,2,122,8.7,True,,,actions/run_2026-08-20_06-23-01__03__ep6.csv,
run_2026-08-20_06-49-37__01__ep0,run_2026-08-20_06-49-37,01,0,put the stuffed animal on the tray,put everything on the tray except for the pouch,1,551,20.2,True,True,failure_type=RETRY | The stuffed animal is now on the tray as instructed.,actions/run_2026-08-20_06-49-37__01__ep0.csv,
run_2026-08-20_06-49-37__01__ep1,run_2026-08-20_06-49-37,01,1,put the banana on the tray,put everything on the tray except for the pouch,1,439,15.8,True,False,"failure_type=RETRY | The robot arm moved toward the banana and grasped it, but then released it without placing it on the tray. The banana ended up on the table instead of the tray.",actions/run_2026-08-20_06-49-37__01__ep1.csv,
run_2026-08-20_06-49-37__01__ep2,run_2026-08-20_06-49-37,01,2,put the banana on the tray,put everything on the tray except for the pouch,1,190,10.9,True,False,failure_type=VOCAB | The arm did not move to grasp or place the banana on the tray; it remained stationary throughout the clip.,actions/run_2026-08-20_06-49-37__01__ep2.csv,
run_2026-08-20_06-49-37__01__ep3,run_2026-08-20_06-49-37,01,3,put the banana on the tray,put everything on the tray except for the pouch,1,423,15.8,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_06-49-37__01__ep3.csv,
run_2026-08-20_06-49-37__01__ep4,run_2026-08-20_06-49-37,01,4,put the kumquat on the tray,put everything on the tray except for the pouch,2,115,7.5,True,False,"failure_type=VOCAB | The robot did not move at all, so it never attempted to grasp or place the kumquat on the tray. The kumquat is not visible in the scene, suggesting it may not have been present or the robot did not recognize it as the target object.",actions/run_2026-08-20_06-49-37__01__ep4.csv,
run_2026-08-20_06-49-37__01__ep5,run_2026-08-20_06-49-37,01,5,put the orange on the tray,put everything on the tray except for the pouch,2,139,8.6,True,False,"failure_type=VOCAB | There is no orange in the scene, and the robot did not move toward any object, indicating it may not have understood the instruction or was not targeting the correct object.",actions/run_2026-08-20_06-49-37__01__ep5.csv,
run_2026-08-20_07-17-48__01__ep0,run_2026-08-20_07-17-48,01,0,put the stuffed animal on the tray,put everything on the tray,1,711,28.6,True,,,actions/run_2026-08-20_07-17-48__01__ep0.csv,
run_2026-08-20_07-24-04__01__ep0,run_2026-08-20_07-24-04,01,0,put the stuffed animal on the tray,put everything on the tray,1,463,17.2,True,True,failure_type=RETRY | The stuffed animal is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__01__ep0.csv,
run_2026-08-20_07-24-04__01__ep1,run_2026-08-20_07-24-04,01,1,put the banana on the tray,put everything on the tray,1,468,18.2,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__01__ep1.csv,
run_2026-08-20_07-24-04__01__ep2,run_2026-08-20_07-24-04,01,2,put the pouch on the tray,put everything on the tray,2,475,17.3,True,True,failure_type=RETRY | The pouch is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__01__ep2.csv,
run_2026-08-20_07-24-04__02__ep0,run_2026-08-20_07-24-04,02,0,put the banana on the tray,put everything on the tray except for the toy,1,592,22.1,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__02__ep0.csv,
run_2026-08-20_07-24-04__02__ep1,run_2026-08-20_07-24-04,02,1,put the bag on the tray,put everything on the tray except for the toy,1,859,30.6,False,False,"failure_type=RETRY | The robot arm moved toward the brown bag but did not successfully grasp or place it on the tray; instead, it appears to have moved without effectively interacting with the bag.",actions/run_2026-08-20_07-24-04__02__ep1.csv,
run_2026-08-20_07-24-04__02__ep2,run_2026-08-20_07-24-04,02,2,put the bag on the tray,put everything on the tray except for the toy,1,263,11.0,False,,,actions/run_2026-08-20_07-24-04__02__ep2.csv,
run_2026-08-20_07-24-04__03__ep0,run_2026-08-20_07-24-04,03,0,put the banana on the tray,put everything on the tray except for the toy,1,805,30.5,False,False,failure_type=RETRY | The robot arm moved toward the banana but did not successfully grasp or place it on the tray; it remained hovering near the banana without completing the action.,actions/run_2026-08-20_07-24-04__03__ep0.csv,
run_2026-08-20_07-24-04__03__ep1,run_2026-08-20_07-24-04,03,1,put the banana on the tray,put everything on the tray except for the toy,1,309,12.8,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__03__ep1.csv,
run_2026-08-20_07-24-04__03__ep2,run_2026-08-20_07-24-04,03,2,put the bag on the tray,put everything on the tray except for the toy,1,509,19.2,True,False,failure_type=RETRY | The robot arm moved toward the brown bag but did not successfully grasp or place it on the tray; it instead moved away without completing the task.,actions/run_2026-08-20_07-24-04__03__ep2.csv,
run_2026-08-20_07-24-04__03__ep3,run_2026-08-20_07-24-04,03,3,put the bag on the tray,put everything on the tray except for the toy,1,673,26.7,True,True,failure_type=RETRY | The brown bag is now on the tray as instructed.,actions/run_2026-08-20_07-24-04__03__ep3.csv,
run_2026-08-20_07-24-04__03__ep4,run_2026-08-20_07-24-04,03,4,put the tray on the table,put everything on the tray except for the toy,2,118,8.4,True,False,"failure_type=VOCAB | The tray is already on the table, so no action was needed. The robot did not move the tray, indicating a failure to execute the sub-task.",actions/run_2026-08-20_07-24-04__03__ep4.csv,
run_2026-08-20_07-24-04__03__ep5,run_2026-08-20_07-24-04,03,5,put the tray on the table,put everything on the tray except for the toy,2,130,8.2,True,False,"failure_type=VOCAB | The tray is already on the table, so no action was needed. The robot did not move the tray, indicating the task was not attempted or executed.",actions/run_2026-08-20_07-24-04__03__ep5.csv,
run_2026-08-20_08-03-31__01__ep0,run_2026-08-20_08-03-31,01,0,put the stuffed animal on the tray,put everything on the tray,1,579,24.1,True,True,failure_type=RETRY | The stuffed animal is now on the tray as instructed.,actions/run_2026-08-20_08-03-31__01__ep0.csv,
run_2026-08-20_08-03-31__01__ep1,run_2026-08-20_08-03-31,01,1,put the banana on the tray,put everything on the tray,1,833,30.4,False,False,"failure_type=RETRY | The robot arm extended toward the banana but did not grasp it, and the banana remained in its original position.",actions/run_2026-08-20_08-03-31__01__ep1.csv,
run_2026-08-20_08-03-31__01__ep2,run_2026-08-20_08-03-31,01,2,put the banana on the tray,put everything on the tray,1,250,10.6,False,,,actions/run_2026-08-20_08-03-31__01__ep2.csv,
run_2026-08-20_08-03-31__02__ep0,run_2026-08-20_08-03-31,02,0,put the banana on the tray,put everything on the tray,1,802,30.3,False,False,failure_type=RETRY | The robot arm moved toward the banana but did not successfully grasp or place it on the tray; it appears to have failed to execute the placement.,actions/run_2026-08-20_08-03-31__02__ep0.csv,
run_2026-08-20_08-03-31__02__ep1,run_2026-08-20_08-03-31,02,1,put the banana on the tray,put everything on the tray,1,163,7.8,True,False,failure_type=RETRY | The robot arm extended toward the banana but did not grasp it. It moved slightly toward the banana but failed to pick it up or place it on the tray.,actions/run_2026-08-20_08-03-31__02__ep1.csv,
run_2026-08-20_08-03-31__02__ep2,run_2026-08-20_08-03-31,02,2,put the banana on the tray,put everything on the tray,1,654,26.1,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_08-03-31__02__ep2.csv,
run_2026-08-20_08-03-31__02__ep3,run_2026-08-20_08-03-31,02,3,put the toy on the tray,put everything on the tray,1,131,8.6,True,False,failure_type=VOCAB | The robot arm is stationary and has not moved to place the toy on the tray.,actions/run_2026-08-20_08-03-31__02__ep3.csv,
run_2026-08-20_08-03-31__02__ep4,run_2026-08-20_08-03-31,02,4,put the toy on the tray,put everything on the tray,1,117,8.6,True,False,failure_type=VOCAB | The robot arm is stationary and has not moved to place the toy on the tray.,actions/run_2026-08-20_08-03-31__02__ep4.csv,
run_2026-08-20_08-03-31__02__ep5,run_2026-08-20_08-03-31,02,5,put the brown object on the tray,put everything on the tray,1,142,8.6,True,False,"failure_type=VOCAB | The robot arm remains stationary and does not move toward or interact with the brown object or the tray, indicating no attempt was made to complete the task.",actions/run_2026-08-20_08-03-31__02__ep5.csv,
run_2026-08-20_08-03-31__02__ep6,run_2026-08-20_08-03-31,02,6,put the bar on the tray,put everything on the tray,1,143,6.2,True,False,failure_type=VOCAB | The robot arm remains stationary and does not move to grasp or place the bar on the tray.,actions/run_2026-08-20_08-03-31__02__ep6.csv,
run_2026-08-20_08-03-31__02__ep7,run_2026-08-20_08-03-31,02,7,put the toy on the tray,put everything on the tray,2,132,8.7,True,False,"failure_type=VOCAB | The robot arm remains stationary and does not move toward the toy or the tray, so the task is not attempted.",actions/run_2026-08-20_08-03-31__02__ep7.csv,
run_2026-08-20_08-03-31__02__ep8,run_2026-08-20_08-03-31,02,8,put the toy on the tray,put everything on the tray,2,242,12.3,True,False,"failure_type=VOCAB | The toy (plush animal) is already on the tray, but the robot did not perform any action to place it there; it remained stationary throughout the clip.",actions/run_2026-08-20_08-03-31__02__ep8.csv,
run_2026-08-20_08-03-31__02__ep9,run_2026-08-20_08-03-31,02,9,put the banana on the tray,put everything on the tray,2,86,4.3,False,,,actions/run_2026-08-20_08-03-31__02__ep9.csv,
run_2026-08-20_08-03-31__03__ep0,run_2026-08-20_08-03-31,03,0,put the banana on the tray,put everything on the tray,1,542,21.5,True,True,failure_type=RETRY | The banana is now on the tray as instructed.,actions/run_2026-08-20_08-03-31__03__ep0.csv,
run_2026-08-20_08-03-31__03__ep1,run_2026-08-20_08-03-31,03,1,put the stuffed animal on the tray,put everything on the tray,1,784,29.6,True,True,failure_type=RETRY | The stuffed animal is now on the tray as instructed.,actions/run_2026-08-20_08-03-31__03__ep1.csv,
run_2026-08-20_08-03-31__03__ep2,run_2026-08-20_08-03-31,03,2,put the robot on the tray,put everything on the tray,2,456,18.1,False,,,actions/run_2026-08-20_08-03-31__03__ep2.csv,
run_2026-08-20_08-03-31__04__ep0,run_2026-08-20_08-03-31,04,0,put the stuffed animal on the tray,put everything on the tray,1,700,26.8,True,False,failure_type=RETRY | The robot arm moved toward the stuffed animal but did not successfully grasp or place it on the tray; it remained hovering near the stuffed animal without completing the action.,actions/run_2026-08-20_08-03-31__04__ep0.csv,
run_2026-08-20_08-03-31__04__ep1,run_2026-08-20_08-03-31,04,1,put the stuffed animal on the tray,put everything on the tray,1,164,7.8,False,,,actions/run_2026-08-20_08-03-31__04__ep1.csv,
