hl_episode_id,run,subdir,high_level_prompt,num_rounds,num_subtasks,num_subtasks_success,total_actions,total_duration_s,hl_outcome,hl_success,hl_reason,manual_success
run_2026-08-20_06-23-01__02,run_2026-08-20_06-23-01,02,put everything on the tray except for the banana,2,2,2,1169,43.2,incomplete,False,"rolled object reported away from the table, but no sub-task ever moved it — treating it as still on the table and the task as incomplete.",
run_2026-08-20_06-23-01__03,run_2026-08-20_06-23-01,03,put everything on the tray except for hte pouch,2,7,2,1673,79.8,aborted,False,operator abort,
run_2026-08-20_06-49-37__01,run_2026-08-20_06-49-37,01,put everything on the tray except for the pouch,2,6,2,1857,78.8,aborted,False,operator abort,
run_2026-08-20_07-17-48__01,run_2026-08-20_07-17-48,01,put everything on the tray,1,1,0,711,28.6,unknown,,,
run_2026-08-20_07-24-04__01,run_2026-08-20_07-24-04,01,put everything on the tray,2,3,3,1406,52.7,incomplete,False,"The robot arm, brown object, and yellow object are not on the tray as required, while the plush toy is correctly on the tray.",
run_2026-08-20_07-24-04__02,run_2026-08-20_07-24-04,02,put everything on the tray except for the toy,1,3,1,1714,63.7,aborted,False,operator abort,
run_2026-08-20_07-24-04__03,run_2026-08-20_07-24-04,03,put everything on the tray except for the toy,2,6,2,2544,105.8,aborted,False,operator abort,
run_2026-08-20_08-03-31__01,run_2026-08-20_08-03-31,01,put everything on the tray,1,3,1,1662,65.1,aborted,False,operator abort,
run_2026-08-20_08-03-31__02,run_2026-08-20_08-03-31,02,put everything on the tray,2,10,1,2612,121.5,aborted,False,operator abort,
run_2026-08-20_08-03-31__03,run_2026-08-20_08-03-31,03,put everything on the tray,2,3,2,1782,69.2,aborted,False,operator abort,
run_2026-08-20_08-03-31__04,run_2026-08-20_08-03-31,04,put everything on the tray,1,2,0,864,34.6,aborted,False,operator abort,
